,u,g,r,i,z,class,redshift
0,18.69254,17.13867,16.55555,16.34662,16.176389999999998,0.0,0.0001146536
26,19.136689999999998,17.43355,17.09256,16.9169,16.58885,1.0,0.01901987
34,18.725820000000002,17.54478,17.06506,16.88649,16.7968,0.0,-1.507582e-05
39,19.16617,17.57986,16.80475,16.35483,16.0194,1.0,0.06102166
49,18.95918,17.09173,16.25019,15.834129999999998,15.55686,1.0,0.06445618
51,18.78726,17.12819,16.402160000000002,16.11632,15.97406,0.0,-1.3056480000000001e-05
56,19.10489,17.75827,17.06874,16.64225,16.35363,1.0,0.07853939
90,18.715310000000002,17.14026,16.559160000000002,16.34495,16.244139999999998,0.0,-1.08831e-05
91,18.840970000000002,17.42277,16.88515,16.69957,16.61958,0.0,-1.988818e-05
103,19.04156,17.733929999999997,17.092879999999997,16.69314,16.44939,1.0,0.06960275
114,18.32765,17.16866,16.73375,16.4772,16.324720000000003,1.0,0.07769189
133,18.223370000000003,17.086129999999997,16.64476,16.45212,16.364729999999998,0.0,0.0001755015
136,19.0098,17.45665,16.80615,16.57423,16.445710000000002,0.0,7.839563e-05
160,18.297320000000003,16.99755,16.42322,16.12302,15.896729999999998,1.0,0.03987529
186,18.85065,17.523239999999998,16.92255,16.49549,16.30095,1.0,0.07700107
194,18.28288,17.22625,16.72198,16.25446,16.09122,1.0,0.06918785
198,18.23939,17.12482,16.699289999999998,16.44302,16.28235,1.0,0.06097141
225,19.20944,17.32851,16.43975,16.03151,15.71471,1.0,0.05453685
238,19.19888,17.113970000000002,16.268079999999998,15.98939,15.821929999999998,0.0,8.864384e-05
247,18.707179999999997,17.4128,16.83565,16.60294,16.471,0.0,0.0002261913
255,18.493389999999998,17.00476,16.47646,16.29245,16.20384,0.0,6.362859000000001e-05
260,18.53399,17.18161,16.763479999999998,16.47679,16.451520000000002,1.0,0.04619972
269,19.107779999999998,17.42259,16.74783,16.28059,16.1785,1.0,0.07627614
283,18.97259,17.822570000000002,17.30695,16.977420000000002,16.73816,1.0,0.03926732
307,19.08878,17.75246,17.29225,16.98637,16.801389999999998,1.0,0.06898549
309,19.13616,17.82907,17.34705,17.07743,16.86572,1.0,0.03591865
310,18.48315,17.163520000000002,16.784670000000002,16.63071,16.8757,1.0,0.02443031
318,19.108729999999998,17.73261,17.21206,17.01494,16.90106,0.0,0.0001602751
319,18.7207,17.02971,16.28517,15.9006,15.62995,1.0,0.03678539
320,19.065820000000002,17.25153,16.40944,16.06056,15.76619,1.0,0.05874074
360,19.11518,17.61022,17.05734,16.85405,16.74405,0.0,0.00015031069999999998
363,18.73709,17.64591,17.19056,16.9006,16.69735,1.0,0.04983363
378,18.603920000000002,17.449479999999998,16.9347,16.54786,16.34064,1.0,0.07114511
395,19.08744,17.7778,17.09646,16.72824,16.54169,1.0,0.06733903
406,18.20498,16.93971,16.843510000000002,16.83045,16.80947,0.0,-1.664955e-05
412,18.51657,17.10228,16.56215,16.35033,16.23314,0.0,8.686886e-06
426,19.04084,17.820999999999998,17.29685,16.95141,16.701179999999997,1.0,0.05766923
428,18.23355,16.83151,16.44484,16.274729999999998,16.12223,1.0,0.03447077
435,18.18745,17.09756,16.65693,16.51115,16.49342,0.0,0.00016480150000000002
436,18.80469,17.87889,16.709220000000002,16.52393,16.42376,0.0,7.298453e-05
449,18.51565,17.26473,16.77735,16.61356,16.52149,0.0,1.3531329999999997e-05
450,19.01773,17.68908,17.09352,16.799129999999998,16.576079999999997,1.0,0.03870048
452,18.57484,17.45172,17.03879,16.836170000000003,16.72985,1.0,0.02847886
453,18.46582,16.9898,16.26396,15.84818,15.54765,1.0,0.0775817
462,18.882620000000003,17.11356,16.31854,15.95065,15.6636,1.0,0.06893987
480,18.98364,17.283929999999998,16.48465,16.11117,15.861379999999999,1.0,0.07537834
494,18.39406,16.94475,16.4514,16.29561,16.22816,0.0,-3.309034e-05
511,18.38353,17.3095,16.962970000000002,16.72305,16.60909,1.0,0.04856721
519,18.87418,17.48917,16.96079,16.76294,16.66895,0.0,3.268256e-05
551,19.06729,17.33672,16.670920000000002,16.29363,16.0346,1.0,0.053262800000000006
560,18.51441,17.306520000000003,16.8156,16.5693,16.621389999999998,1.0,0.009122205999999999
580,18.802529999999997,17.30815,16.45126,16.031570000000002,15.6647,1.0,0.02136467
585,18.99655,17.86052,17.25065,16.85453,16.627760000000002,1.0,0.07734098
589,18.634420000000002,17.41629,16.89397,16.657,16.56427,0.0,0.0006713964
599,18.61261,17.25059,16.71379,16.51233,16.43086,0.0,-2.8047670000000004e-05
604,18.16204,17.084570000000003,16.649720000000002,16.35355,16.17033,1.0,0.07455731
615,18.89346,17.40636,16.73866,16.42101,16.24447,0.0,0.00010504440000000001
628,18.52702,17.44107,17.07325,16.94302,16.90406,0.0,4.583284000000001e-05
662,18.5325,17.45297,17.04168,16.791629999999998,16.64881,1.0,0.04585801
668,18.15955,17.122020000000003,16.73011,16.45934,16.32714,1.0,0.07318926
686,18.272289999999998,17.011029999999998,16.46431,16.13064,15.88504,1.0,0.041882300000000004
690,18.53787,17.11841,16.43196,16.05398,15.767920000000002,1.0,0.03682172
695,19.11109,17.80836,17.32715,17.032320000000002,16.917720000000003,1.0,0.05715296
703,19.03213,17.19443,16.35042,15.937870000000002,15.62374,1.0,0.06593488
706,18.820439999999998,17.3051,16.6067,16.31491,16.16254,0.0,5.418566999999999e-05
712,18.54114,17.12699,16.52795,16.26175,16.09574,0.0,0.00012821879999999999
762,18.53061,17.11486,16.41628,15.9586,15.65335,1.0,0.05532756
765,19.21811,17.77409,17.05003,16.64181,16.35594,1.0,0.07566511
773,19.00647,17.21891,16.38492,15.943970000000002,15.593210000000001,1.0,0.0518445
779,18.33765,17.20342,16.778760000000002,16.622239999999998,16.602710000000002,0.0,2.7932659999999995e-05
783,18.24009,16.99077,16.46647,16.189870000000003,16.03116,1.0,0.04936688
788,18.19471,16.986710000000002,16.593970000000002,16.35069,16.218629999999997,1.0,0.04034506
796,18.923579999999998,17.72717,17.3181,17.05256,16.91253,1.0,0.07788773
811,18.98544,17.49077,16.92088,16.70062,16.632070000000002,0.0,7.87175e-05
848,18.75044,17.46321,16.92738,16.646379999999997,16.45518,1.0,0.038538300000000004
873,18.67357,17.39261,16.82245,16.406010000000002,16.15519,1.0,0.06585002
886,18.43972,17.20356,16.639689999999998,16.299879999999998,16.116020000000002,1.0,0.07617746
889,18.91508,17.70307,17.18829,16.907420000000002,16.73602,1.0,0.05215954
894,18.6483,17.731360000000002,17.33911,17.12068,16.97343,1.0,0.03247028
899,18.580470000000002,17.06103,16.45717,16.22721,16.11329,0.0,0.0006193007
901,19.243679999999998,17.43391,16.69517,16.42531,16.2573,0.0,0.0003882105
908,18.85381,17.253529999999998,16.46261,16.07416,15.739220000000001,1.0,0.03138112
909,18.2298,17.32666,17.07161,16.959239999999998,16.92118,0.0,-1.2036e-05
914,18.48667,17.364810000000002,16.89764,16.709020000000002,16.62255,0.0,0.000704729
919,18.39755,16.945729999999998,16.29809,15.907620000000001,15.59176,1.0,0.04346794
921,18.886860000000002,17.41483,16.8013,16.57866,16.49071,1.0,0.0
928,18.710279999999997,17.54938,17.1845,16.96838,16.8418,1.0,0.02708126
932,19.22502,17.71733,16.95356,16.53422,16.25405,1.0,0.06290114
935,19.000239999999998,17.69764,17.132929999999998,16.8336,16.58376,1.0,0.07549584
936,18.49204,17.27511,16.64206,16.24964,15.999310000000001,1.0,0.07351929
946,18.19856,17.21931,16.943260000000002,16.8337,16.815179999999998,0.0,0.00012992020000000002
959,18.66021,17.511860000000002,17.0628,16.792279999999998,16.57501,1.0,0.03871051
970,18.81909,17.54808,16.99785,16.70309,16.5352,1.0,0.05056615
971,19.09313,17.18815,16.32283,15.907770000000001,15.584389999999999,1.0,0.05136791
974,18.27826,17.10973,16.53987,16.10833,15.876170000000002,1.0,0.06729464
978,18.313470000000002,17.16828,16.7522,16.47723,16.32999,1.0,0.05027864
980,18.19999,17.25036,16.90775,16.77587,16.76436,0.0,0.0006110388
981,18.63601,17.27522,16.70804,16.42084,16.16631,1.0,0.03164083
986,18.91851,17.81249,17.35856,16.998079999999998,16.82293,1.0,0.07309500000000001
995,18.2932,17.292270000000002,16.87876,16.72031,16.529729999999997,1.0,0.01798549
1008,18.345679999999998,17.07895,16.643729999999998,16.49427,16.463639999999998,0.0,0.0002590341
1010,18.6528,17.50354,17.0413,16.81493,16.84114,1.0,0.03436773
1013,18.28085,16.86551,16.2287,15.9215,15.76186,0.0,3.2299999999999997e-07
1017,18.87913,17.76024,17.33565,17.037679999999998,16.98715,1.0,0.05698375
1019,19.11425,17.46773,16.69501,16.286260000000002,15.9894,1.0,0.06679055
1024,18.3565,16.90162,16.37434,16.19494,16.127879999999998,0.0,-3.6947699999999998e-06
1047,18.57282,17.3941,16.935010000000002,16.629260000000002,16.493389999999998,1.0,0.04288927
1054,18.57159,17.12116,16.45019,16.06719,15.800070000000002,1.0,0.07325768
1068,18.82819,17.73047,17.14423,16.8901,16.62596,1.0,0.01777156
1071,18.96967,17.26216,16.582160000000002,16.32709,16.21572,0.0,5.4344899999999995e-05
1076,18.3463,17.03179,16.48157,16.12913,15.94771,1.0,0.05714400000000001
1077,18.265060000000002,17.10461,16.65019,16.35284,16.26451,1.0,0.06982954
1083,19.24053,17.57752,16.80169,16.37655,16.05339,1.0,0.06960491
